fly_id,bout_idx,start_frame,end_frame,source_fly
Session1/2026_04_02_16_21_32,1,248710,249361,both
Session1/2026_04_02_16_21_32,2,249564,249823,both
Session1/2026_04_02_16_21_32,3,249816,250102,both
Session1/2026_04_02_16_21_32,4,344050,346068,both
Session1/2026_04_02_16_21_32,5,380781,381558,both
Session1/2026_04_02_16_21_32,6,382633,383201,both
Session1/2026_04_02_16_21_32,7,384936,385825,both
Session1/2026_04_02_16_21_32,8,503957,504742,both
Session1/2026_04_02_16_21_32,9,505035,507458,both
Session1/2026_04_02_16_21_32,10,621116,621344,both
Session1/2026_04_02_16_21_32,11,623077,625525,both
