fly_id,bout_idx,start_frame,end_frame,source_fly
Session1/2026_04_02_16_39_56,1,145553,145889,both
Session1/2026_04_02_16_39_56,2,198612,198785,both
Session1/2026_04_02_16_39_56,3,198812,199086,both
Session1/2026_04_02_16_39_56,4,215374,215956,both
Session1/2026_04_02_16_39_56,5,294860,295199,both
Session1/2026_04_02_16_39_56,6,295200,295864,both
Session1/2026_04_02_16_39_56,7,310516,311109,both
Session1/2026_04_02_16_39_56,8,319955,320598,both
Session1/2026_04_02_16_39_56,9,335002,336177,both
Session1/2026_04_02_16_39_56,10,366399,366740,both
Session1/2026_04_02_16_39_56,11,378506,378896,both
Session1/2026_04_02_16_39_56,12,417779,419097,both
Session1/2026_04_02_16_39_56,13,441525,442351,both
Session1/2026_04_02_16_39_56,14,493070,494188,both
Session1/2026_04_02_16_39_56,15,512866,513494,both
Session1/2026_04_02_16_39_56,16,559267,559825,both
Session1/2026_04_02_16_39_56,17,597912,599509,both
Session1/2026_04_02_16_39_56,18,599574,600548,both
