fly_id,bout_idx,start_frame,end_frame,source_fly
Session1/2026_04_02_14_54_28,1,142622,143203,both
Session1/2026_04_02_14_54_28,2,181864,182481,both
Session1/2026_04_02_14_54_28,3,258930,259900,both
Session1/2026_04_02_14_54_28,4,380874,381371,both
Session1/2026_04_02_14_54_28,5,383812,384290,both
Session1/2026_04_02_14_54_28,6,417933,418626,both
Session1/2026_04_02_14_54_28,7,476249,476743,both
Session1/2026_04_02_14_54_28,8,508229,508528,both
Session1/2026_04_02_14_54_28,9,546436,547349,both
Session1/2026_04_02_14_54_28,10,581623,581925,both
Session1/2026_04_02_14_54_28,11,595442,596100,both
Session1/2026_04_02_14_54_28,12,639753,640497,both
Session1/2026_04_02_14_54_28,13,640498,641150,both
Session1/2026_04_02_14_54_28,14,647561,647986,both
Session1/2026_04_02_14_54_28,15,650162,650455,both
Session1/2026_04_02_14_54_28,16,662624,664810,both
Session1/2026_04_02_14_54_28,17,675489,676470,both
Session1/2026_04_02_14_54_28,18,724740,724979,both
Session1/2026_04_02_14_54_28,19,725268,725728,both
