fly_id,bout_idx,start_frame,end_frame,source_fly
Session1/2026_04_02_15_25_51,1,60164,60688,both
Session1/2026_04_02_15_25_51,2,85424,85760,both
Session1/2026_04_02_15_25_51,3,107204,107659,both
Session1/2026_04_02_15_25_51,4,216098,216760,both
Session1/2026_04_02_15_25_51,5,228804,229778,both
Session1/2026_04_02_15_25_51,6,310082,310382,both
Session1/2026_04_02_15_25_51,7,323600,323939,both
Session1/2026_04_02_15_25_51,8,350962,351400,both
Session1/2026_04_02_15_25_51,9,376540,376989,both
Session1/2026_04_02_15_25_51,10,394522,395146,both
Session1/2026_04_02_15_25_51,11,399504,400462,both
Session1/2026_04_02_15_25_51,12,416797,417532,both
Session1/2026_04_02_15_25_51,13,430591,431285,both
Session1/2026_04_02_15_25_51,14,431280,432027,both
Session1/2026_04_02_15_25_51,15,437534,438608,both
Session1/2026_04_02_15_25_51,16,456633,457346,both
Session1/2026_04_02_15_25_51,17,498928,499541,both
Session1/2026_04_02_15_25_51,18,524460,525683,both
Session1/2026_04_02_15_25_51,19,553591,554544,both
Session1/2026_04_02_15_25_51,20,562620,563510,both
Session1/2026_04_02_15_25_51,21,597387,598003,both
Session1/2026_04_02_15_25_51,22,610320,611883,both
Session1/2026_04_02_15_25_51,23,619004,619513,both
Session1/2026_04_02_15_25_51,24,619762,621558,both
Session1/2026_04_02_15_25_51,25,629771,630210,both
Session1/2026_04_02_15_25_51,26,649060,649446,both
Session1/2026_04_02_15_25_51,27,672498,673319,both
Session1/2026_04_02_15_25_51,28,788422,789013,both
Session1/2026_04_02_15_25_51,29,789014,789691,both
Session1/2026_04_02_15_25_51,30,790669,791058,both
