fly_id,bout_idx,start_frame,end_frame,source_fly
Session1/2026_04_02_17_28_34,1,464875,465650,both
Session1/2026_04_02_17_28_34,2,574840,575590,both
Session1/2026_04_02_17_28_34,3,586870,587389,both
Session1/2026_04_02_17_28_34,4,604900,606030,both
Session1/2026_04_02_17_28_34,5,606031,606301,both
Session1/2026_04_02_17_28_34,6,617161,617512,both
Session1/2026_04_02_17_28_34,7,622237,622594,both
Session1/2026_04_02_17_28_34,8,666302,666736,both
Session1/2026_04_02_17_28_34,9,666754,667364,both
Session1/2026_04_02_17_28_34,10,723282,723474,both
Session1/2026_04_02_17_28_34,11,750800,751135,both
Session1/2026_04_02_17_28_34,12,751679,753630,both
Session1/2026_04_02_17_28_34,13,803144,803782,both
Session1/2026_04_02_17_28_34,14,844807,845444,both
Session1/2026_04_02_17_28_34,15,862113,863130,both
